Time,Value
2024-01-31,0.43474241352008475
2024-02-29,2.692874863595127
2024-03-31,5.117133971962501
2024-04-30,6.189002579546701
2024-05-31,7.507274948928752
2024-06-30,3.4535474434352627
2024-07-31,1.9678388642835678
2024-08-31,-0.4461594695532194
2024-09-30,-1.8206161693164982
2024-10-31,-2.934271882360223
2024-11-30,-1.8315303114215464
2024-12-31,1.0890246383617785
2025-01-31,3.136651676287464
2025-02-28,5.165304491220345
2025-03-31,7.705381377223936
2025-04-30,8.874434446404972
2025-05-31,7.713365466107285
2025-06-30,6.627283513677376
2025-07-31,3.6898849160906546
2025-08-31,3.322748378903339
2025-09-30,0.011443976019142932
2025-10-31,1.5839598247121136
2025-11-30,1.2717300255324495
2025-12-31,4.063455484689961
2026-01-31,6.211521307428408
2026-02-28,9.247417855821505
2026-03-31,12.704578785307344
2026-04-30,11.442556743319289
2026-05-31,10.36406611212581
2026-06-30,8.154042816359292
2026-07-31,6.637662287644517
2026-08-31,4.396985150433666
2026-09-30,5.090249007752091
2026-10-31,3.6641366821180115
2026-11-30,3.797768017451797
2026-12-31,5.751753012399483
2027-01-31,10.461228334772272
2027-02-28,13.669287030985398
2027-03-31,12.767395287205193
2027-04-30,13.28277695558657
2027-05-31,12.99251279467644
2027-06-30,12.659404954954011
2027-07-31,8.885704664994266
2027-08-31,7.768866200817308
2027-09-30,7.051053452671772
2027-10-31,6.422811917988192
2027-11-30,7.027454168091963
2027-12-31,9.229181207159996
2028-01-31,13.016185974815318
2028-02-29,16.8940129709704
2028-03-31,17.693355340255444
2028-04-30,19.908984176587218
2028-05-31,16.47529920922161
2028-06-30,15.902957978498357
2028-07-31,11.74103982144249
2028-08-31,10.259765319327661
2028-09-30,8.799421747842711
2028-10-31,9.463518451902036
2028-11-30,10.287616317579921
2028-12-31,12.792945092616417
2029-01-31,16.06663572025703
2029-02-28,17.274762247716026
2029-03-31,21.256469058968435
2029-04-30,21.84894024227628
2029-05-31,19.659384206061087
2029-06-30,17.539956056158186
2029-07-31,16.71627510997494
2029-08-31,12.53860647856277
2029-09-30,12.145041952484256
2029-10-31,13.879432210236772
2029-11-30,12.730399783554962
2029-12-31,15.99031440984726
2030-01-31,17.81463600521322
2030-02-28,22.316616083289304
2030-03-31,23.150831786618525
2030-04-30,23.133930348919595
2030-05-31,23.20685694722314
